index,Mkt-RF,SMB,HML,RF
200606,-0.35,-0.55,1.49,0.4
200607,-0.78,-4,3.42,0.4
200608,2.03,0.81,-1.78,0.42
200609,1.84,-1.23,-0.5,0.41
200610,3.23,1.64,0.52,0.41
200611,1.71,0.78,0.53,0.42
200612,0.87,-0.9,2.55,0.4
200701,1.4,0.1,-0.05,0.44
200702,-1.96,1.35,0.23,0.38
200703,0.68,-0.27,0.37,0.43
200704,3.49,-2.07,-0.99,0.44
200705,3.24,-0.03,-0.17,0.41
200706,-1.96,0.75,-1.03,0.4
200707,-3.73,-2.67,-2.99,0.4
200708,0.92,-0.16,-2.32,0.42
200709,3.22,-2.45,-2.11,0.32
200710,1.8,0.11,-2.11,0.32
200711,-4.83,-2.78,-1.02,0.34
200712,-0.87,0.02,-0.01,0.27
200801,-6.36,-0.74,3.05,0.21
200802,-3.09,-0.55,0.01,0.13
200803,-0.93,0.8,0.24,0.17
200804,4.6,-1.52,-0.03,0.18
200805,1.86,3.03,-0.41,0.18
200806,-8.44,1.12,-1.02,0.17
200807,-0.77,3.56,3.64,0.15
200808,1.53,3.67,1.61,0.13
200809,-9.24,-0.32,4.36,0.15
200810,-17.23,-2.3,-2.96,0.08
200811,-7.86,-3.68,-5.02,0.03
200812,1.74,4,-1.19,0
200901,-8.12,-0.99,-9.67,0
200902,-10.1,-0.38,-6.9,0.01
200903,8.95,0.7,2.54,0.02
200904,10.19,5.35,5.22,0.01
200905,5.21,-2.63,0.58,0
200906,0.43,2.67,-2.39,0.01
200907,7.72,2.51,4.73,0.01
200908,3.33,-0.5,7.65,0.01
200909,4.08,2.43,1.35,0.01
200910,-2.59,-4.23,-4.35,0
200911,5.56,-2.61,0.23,0
200912,2.75,5.79,0.72,0.01
201001,-3.36,0.2,0.61,0
201002,3.4,1.44,2.74,0
201003,6.31,1.57,2.01,0.01
201004,2,4.92,3.12,0.01
201005,-7.89,-0.09,-2.32,0.01
201006,-5.56,-2.15,-4.27,0.01
201007,6.93,0.24,0.04,0.01
201008,-4.77,-3.03,-1.51,0.01
201009,9.54,3.84,-2.94,0.01
201010,3.88,1.01,-2.23,0.01
201011,0.6,3.69,-0.58,0.01
201012,6.82,0.85,3.47,0.01
201101,1.99,-2.4,0.68,0.01
201102,3.49,1.62,1.73,0.01
201103,0.45,2.68,-1.16,0.01
201104,2.9,-0.34,-2.15,0
201105,-1.27,-0.68,-2.12,0
201106,-1.75,-0.14,-0.26,0
201107,-2.36,-1.44,-1.18,0
201108,-5.99,-3.3,-1.58,0.01
201109,-7.59,-3.72,-0.98,0
201110,11.35,3.58,-0.96,0
201111,-0.28,-0.24,-0.18,0
201112,0.74,-0.55,1.57,0
201201,5.05,2.51,-2.14,0
201202,4.42,-1.65,0.01,0
201203,3.11,-0.27,-0.06,0
201204,-0.85,-0.63,-0.2,0
201205,-6.19,-0.11,0.08,0.01
201206,3.89,0.81,0.54,0
201207,0.79,-2.6,0.01,0
201208,2.55,0.69,0.6,0.01
201209,2.73,0.5,1.56,0.01
201210,-1.76,-1.07,4.16,0.01
201211,0.78,0.68,-1.12,0.01
201212,1.18,1.61,3.26,0.01
201301,5.57,0.5,1.34,0
201302,1.29,-0.4,0.28,0
201303,4.03,0.88,-0.07,0
201304,1.56,-2.4,0.35,0
201305,2.8,2,1.33,0
201306,-1.2,1.18,-0.4,0
201307,5.65,1.88,0.71,0
201308,-2.71,0.24,-2.48,0
201309,3.77,2.86,-1.57,0
201310,4.18,-1.55,1.36,0
201311,3.12,1.33,-0.38,0
201312,2.81,-0.43,-0.2,0
201401,-3.32,0.83,-1.88,0
201402,4.65,0.32,-0.49,0
201403,0.43,-1.81,4.6,0
201404,-0.19,-4.17,1.62,0
201405,2.06,-1.84,-0.38,0
201406,2.61,2.94,-0.6,0
201407,-2.04,-4.25,0.04,0
201408,4.24,0.5,-0.76,0
201409,-1.97,-3.8,-1.68,0
201410,2.52,4.28,-1.81,0
201411,2.55,-2.08,-3.37,0
201412,-0.06,2.6,1.56,0
201501,-3.11,-0.62,-3.06,0
201502,6.13,0.47,-2.16,0
201503,-1.12,3.14,-0.73,0
201504,0.59,-3.03,2.13,0
201505,1.36,0.95,-1.9,0
201506,-1.53,2.84,-1.04,0
201507,1.54,-4.17,-4.49,0
